ID;Longitude;Latitude;time;Temperature
1;7,969816;44,929654;00:25;17,4
1;7,969816;44,929654;01:25;17,2
1;7,969816;44,929654;02:25;17,5
1;7,969816;44,929654;03:25;17,7
1;7,969816;44,929654;04:25;16,7
1;7,969816;44,929654;05:25;16,9
1;7,969816;44,929654;06:25;16,4
1;7,969816;44,929654;07:25;16,5
1;7,969816;44,929654;08:25;17,1
1;7,969816;44,929654;09:25;18,4
2;7,7142;44,6444;00:24;14,4
2;7,7142;44,6444;01:24;14,4
2;7,7142;44,6444;02:24;13,6
2;7,7142;44,6444;03:24;12,9
2;7,7142;44,6444;04:24;11
2;7,7142;44,6444;05:24;10,9
2;7,7142;44,6444;06:24;13,2
2;7,7142;44,6444;07:24;13,5
2;7,7142;44,6444;08:24;14,4
2;7,7142;44,6444;09:24;15,9
3;7,48009;44,45333;00:37;11,3
3;7,48009;44,45333;01:37;11,3
3;7,48009;44,45333;02:37;10,5
3;7,48009;44,45333;03:37;9,8
3;7,48009;44,45333;04:37;10
3;7,48009;44,45333;05:37;10
3;7,48009;44,45333;06:37;12
3;7,48009;44,45333;07:37;13,7
3;7,48009;44,45333;08:37;14,7
3;7,48009;44,45333;09:37;15,5
4;7,6413;44,68368;00:30;14,5
4;7,6413;44,68368;01:30;14
4;7,6413;44,68368;02:30;13,4
4;7,6413;44,68368;03:30;13,8
4;7,6413;44,68368;04:30;11,9
4;7,6413;44,68368;05:30;11,3
4;7,6413;44,68368;06:30;12,2
4;7,6413;44,68368;07:30;12,4
4;7,6413;44,68368;08:30;15,3
4;7,6413;44,68368;09:30;17,1
100;9,55957;45,55077;00:20;15,9
100;9,55957;45,55077;01:20;14,7
100;9,55957;45,55077;02:20;14,1
100;9,55957;45,55077;03:20;14
100;9,55957;45,55077;04:20;13,9
100;9,55957;45,55077;05:20;13,8
100;9,55957;45,55077;06:20;14,2
100;9,55957;45,55077;07:20;15,8
100;9,55957;45,55077;08:20;16,4
100;9,55957;45,55077;09:20;17,4
101;9,76277;45,6002;00:36;14,4
101;9,76277;45,6002;01:36;14,5
101;9,76277;45,6002;02:36;13,9
101;9,76277;45,6002;03:36;12,4
101;9,76277;45,6002;04:36;12,2
101;9,76277;45,6002;05:36;12,2
101;9,76277;45,6002;06:36;13,7
101;9,76277;45,6002;07:36;14,4
101;9,76277;45,6002;08:36;14,9
101;9,76277;45,6002;09:36;16,1
102;9,80821;45,57813;00:50;17,5
102;9,80821;45,57813;01:50;15,2
102;9,80821;45,57813;02:50;15,8
102;9,80821;45,57813;03:50;14,9
102;9,80821;45,57813;04:50;14,3
102;9,80821;45,57813;05:50;14,8
102;9,80821;45,57813;06:50;16,9
102;9,80821;45,57813;07:50;17,5
102;9,80821;45,57813;08:50;18,1
102;9,80821;45,57813;09:50;18,4
627;16,14248;38,67795;00:46;21,6
627;16,14248;38,67795;01:46;21,5
627;16,14248;38,67795;02:46;21,1
627;16,14248;38,67795;03:46;20,6
627;16,14248;38,67795;04:46;21,3
627;16,14248;38,67795;05:46;21,4
627;16,14248;38,67795;06:46;23,5
627;16,14248;38,67795;07:46;25
627;16,14248;38,67795;08:46;26,3
627;16,14248;38,67795;09:46;26,8
628;16,43752;38,8702;00:54;20,3
628;16,43752;38,8702;01:54;20,5
628;16,43752;38,8702;02:54;19,9
628;16,43752;38,8702;03:54;20,6
628;16,43752;38,8702;04:54;20,3
628;16,43752;38,8702;05:54;22,4
628;16,43752;38,8702;06:54;22,8
628;16,43752;38,8702;07:54;23,7
628;16,43752;38,8702;08:54;25,7
628;16,43752;38,8702;09:54;26
629;16,40378;39,72663;00:51;19,3
629;16,40378;39,72663;01:51;19,3
629;16,40378;39,72663;02:51;19,6
629;16,40378;39,72663;03:51;19,6
629;16,40378;39,72663;04:51;20
629;16,40378;39,72663;05:51;20
629;16,40378;39,72663;06:51;21,6
629;16,40378;39,72663;07:51;24,2
629;16,40378;39,72663;08:51;25,3
629;16,40378;39,72663;09:51;27,7